Nom Sewan,Nom CFAST,Nom Normalisé
CHAMBRE SYNDIC CAFETIER DEBITANT BOISSON,CHAMBRE SYNDIC CAFETIER DEBITANT BOISSON,chambresyndiccafetierdebitantboisson
CHEOPS Hauts-de-France,CHEOPS Hauts-de-France,cheopshauts-de-france
CHRIS AUTO SERVICES,,chrisautoservices
CITEF,CITEF,citef
CLOISONOR,CLOISONOR,cloisonor
CLS,CLS,cls
CO DI MA,CO DI MA,codima
COFRINO FROID ET MACHINES,COFRINO FROID ET MACHINES,cofrinofroidetmachines
COLIBRI,,colibri
COLLEGE HERGE,,collegeherge
COLLEGE LE TRIOLO,,collegeletriolo
COLLEGE SIMONE DE BEAUVOIR,COLLEGE SIMONE DE BEAUVOIR,collegesimonedebeauvoir
COMMUNE DE BARLIN,COMMUNE DE BARLIN,communedebarlin
COMMUNE DE LANNOY,,communedelannoy
COMMUNE DE MAROEUIL,COMMUNE DE MAROEUIL,communedemaroeuil
COMMUNE DE NOYELLES LES SECLIN,,communedenoyelleslesseclin
COMMUNE DE PREMESQUES,COMMUNE DE PREMESQUES,communedepremesques
CONDEV FRANCE,CONDEV FRANCE,condevfrance
CORNILLE SA,CORNILLE SA,cornillesa
CREA PROD,,creaprod
CREIDEO,CREIDEO,creideo
CUZCO TP,CUZCO TP,cuzcotp
DECLIC ACCESS,,declicaccess
DECOUVRIR FOURNIR INNOVER,,decouvrirfournirinnover
DELECOURT GAILORD,,delecourtgailord
DELEU IMMOBILIER (Wasquehal),DELEU IMMOBILIER (Wasquehal),deleuimmobilier(wasquehal)
DIAGNOVIE,DIAGNOVIE,diagnovie
DIRECT DECOR,DIRECT DECOR,directdecor
DISTRI FOR YOU,,distriforyou
DISTRIBUTION DIRECTE D USINE,DISTRIBUTION DIRECTE D USINE,distributiondirectedusine
DOMINIQUE ZORNIG,,dominiquezornig
DUEZ CHRISTOPHE,DUEZ CHRISTOPHE,duezchristophe
DUMORTIER,DUMORTIER,dumortier
DUPONT RESTAURATION,DUPONT RESTAURATION,dupontrestauration
EAUTEX SARL,EAUTEX SARL,eautexsarl
EHPAD NOTRE DAME DE BOULOGNE,,ehpadnotredamedeboulogne
ELECTRICITE GUIDEZ,,electriciteguidez
EMPLOI ET HANDICAP GRAND LILLE,EMPLOI ET HANDICAP GRAND LILLE,emploiethandicapgrandlille
ENTREPRISE LIONET,ENTREPRISE LIONET,entrepriselionet
EPC DEMOSTEN,,epcdemosten
EPICURE ING,,epicureing
ESCAFLANDRES (ECHELLE 59),,escaflandres(echelle59)
ETABLISSEMENTS COGLIANDRO,ETABLISSEMENTS COGLIANDRO,etablissementscogliandro
ETABLISSEMENTS DOURDIN,ETABLISSEMENTS DOURDIN,etablissementsdourdin
EURO COURTAGE,EURO COURTAGE,eurocourtage
EWO AUTOMATISMES,,ewoautomatismes
F.A.S. HAUTS DE FRANCE,F.A.S. HAUTS DE FRANCE,f.a.s.hautsdefrance
FERRANTELLI,FERRANTELLI,ferrantelli
FIBR' & CO,FIBR' & CO,fibr'&co
FINANCEMENT DU CAMBRESIS - MEILLEUR TAUX CAMBRAI,FINANCEMENT DU CAMBRESIS - MEILLEUR TAUX CAMBRAI,financementducambresis-meilleurtauxcambrai
FINANCIERE D'EXPERTISE COMPTABLE,FINANCIERE D'EXPERTISE COMPTABLE,financiered'expertisecomptable
FLORENT HURET,FLORENT HURET,florenthuret
FMC FINANCEMENT,FMC FINANCEMENT,fmcfinancement
FRACHT FRANCE,FRACHT FRANCE,frachtfrance
GODART DISTRIBUTION,,godartdistribution
GOOD-TO-GO,,good-to-go
GREBERT STEPHANIE - SWISS LIFE,GREBERT STEPHANIE - SWISS LIFE,grebertstephanie-swisslife
GRPT EMPLOY INSERTION QUALIF EMPLOI HAND,GRPT EMPLOY INSERTION QUALIF EMPLOI HAND,grptemployinsertionqualifemploihand
HAUTMONT FINANCEMENT,HAUTMONT FINANCEMENT,hautmontfinancement
HAUTS-DE-FRANCE TOURISME,,hauts-de-francetourisme
HFCD,,hfcd
HOMZA,HOMZA,homza
HOMZA SERVICES,HOMZA SERVICES,homzaservices
HORNETSECURITY SAS,,hornetsecuritysas
HURBAN DEVELOPPEMENT,HURBAN DEVELOPPEMENT,hurbandeveloppement
HUYON TOIT,,huyontoit
I.F.S.I. AMBROISE PARE,,i.f.s.i.ambroisepare
ILLIMAKE,,illimake
IMA PARTENAIRE,IMA PARTENAIRE,imapartenaire
IMPRESSION D'IMAGES,IMPRESSION D'IMAGES,impressiond'images
INFHOR,INFHOR,infhor
INFODIS IT,,infodisit
INK ARCHITECTES & SC�NOGRAPHES,INK ARCHITECTES & SC�NOGRAPHES,inkarchitectes&sc�nographes
JCF ACQUISITIONS,,jcfacquisitions
JEAN-MARC ESCUDIE ARCHITECTURE,JEAN-MARC ESCUDIE ARCHITECTURE,jean-marcescudiearchitecture
JEANENCE COIFFURE,JEANENCE COIFFURE,jeanencecoiffure
JUMATOL INVESTISSEMENTS,JUMATOL INVESTISSEMENTS,jumatolinvestissements
KVDS,KVDS,kvds
L'ESPRIT DE TERROIR,L'ESPRIT DE TERROIR,l'espritdeterroir
L'INFORMATIQUE DE L'ARTOIS,L'INFORMATIQUE DE L'ARTOIS,l'informatiquedel'artois
LA MAISON DU CHAUFFAGE,LA MAISON DU CHAUFFAGE,lamaisonduchauffage
LABEL FRITE,LABEL FRITE,labelfrite
LE CEDRE,LE CEDRE,lecedre
LE GARAGE DES FRANCS,LE GARAGE DES FRANCS,legaragedesfrancs
LE MAILLON C2R,LE MAILLON C2R,lemaillonc2r
LE MAILLON C2RI,LE MAILLON C2RI,lemaillonc2ri
LE RESTAURANT DE L'HIPPODROME,,lerestaurantdel'hippodrome
LEGLEYE Jean-Marc Henri,,legleyejean-marchenri
LOCAMIA,LOCAMIA,locamia
LOXO,,loxo
LP STRATOS,LP STRATOS,lpstratos
LUDO BALAYAGE,LUDO BALAYAGE,ludobalayage
LUMAN,,luman
MAAS,MAAS,maas
MACONNERIE ET CONSTRUCTION DU NORD,MACONNERIE ET CONSTRUCTION DU NORD,maconnerieetconstructiondunord
MADAME SANDRA SULPIZI (AXA),MADAME SANDRA SULPIZI (AXA),madamesandrasulpizi(axa)
MAIRIE DE FAVEROLLES SUR CHER,MAIRIE DE FAVEROLLES SUR CHER,mairiedefaverollessurcher
MC SARL,MC SARL,mcsarl
METALSFER,,metalsfer
METEORS,METEORS,meteors
MILLON S.A.S,MILLON S.A.S,millons.a.s
MONSIEUR THIBAULT ABRAHAM,,monsieurthibaultabraham
MOUGENOT ET FILS,,mougenotetfils
Mr et Mme D'Haveloose,Mr et Mme D'Haveloose,mretmmed'haveloose
Mr GHESQUIER VINCENT,,mrghesquiervincent
MULTITUDE,,multitude
NCO Services Test,,ncoservicestest
NEOKA SERVICES CONSEILS,NEOKA SERVICES CONSEILS,neokaservicesconseils
NEW LOG,NEW LOG,newlog
NORBOISERIE,,norboiserie
NORD MED,NORD MED,nordmed
OFFICE DE TOURISME DE LA METROPOLE EUROPEENNE DE LILLE,,officedetourismedelametropoleeuropeennedelille
OSMOSE,OSMOSE,osmose
P2l - Metod,,p2l-metod
PEAN COUSIN Laurence,,peancousinlaurence
PHARMACIE DES 2 VILLES,,pharmaciedes2villes
PHARMACIE DES PROVINCES,PHARMACIE DES PROVINCES,pharmaciedesprovinces
PHARMACIE DU CENTRE CROIX,PHARMACIE DU CENTRE CROIX,pharmacieducentrecroix
PHARMACIE LEGLEYE,,pharmacielegleye
PIC TRANSACTION,PIC TRANSACTION,pictransaction
PLANCKAERT ET FILS,,planckaertetfils
PLOUVIER GUY,PLOUVIER GUY,plouvierguy
POMPES FUNEBRES ELIEZER-VANEROT,POMPES FUNEBRES ELIEZER-VANEROT,pompesfunebreseliezer-vanerot
POMPES FUNEBRES JOLY,POMPES FUNEBRES JOLY,pompesfunebresjoly
PPARCHI,,pparchi
RAYMOND MANIEZ,RAYMOND MANIEZ,raymondmaniez
REANT ENTREPRISE ARTISTIQUE,REANT ENTREPRISE ARTISTIQUE,reantentrepriseartistique
REPNOR,REPNOR,repnor
RIBEIRO AUTOMOBILES,RIBEIRO AUTOMOBILES,ribeiroautomobiles
RINGARD AGRI,RINGARD AGRI,ringardagri
RINGARD ENERGIES,RINGARD ENERGIES,ringardenergies
ROBERT CARRE ET FILS,ROBERT CARRE ET FILS,robertcarreetfils
S.E.L.A.R.L. LES ALIZES,S.E.L.A.R.L. LES ALIZES,s.e.l.a.r.l.lesalizes
S.O.C.O.F.R.I,S.O.C.O.F.R.I,s.o.c.o.f.r.i
SADAPS CORPORATION,SADAPS CORPORATION,sadapscorporation
SADAPS DISTRIBUTION,SADAPS DISTRIBUTION,sadapsdistribution
SAFIR IMMO INVESTISSEMENT,SAFIR IMMO INVESTISSEMENT,safirimmoinvestissement
SAM ET LIE,SAM ET LIE,sametlie
SARL EAU PRES D'L,SARL EAU PRES D'L,sarleaupresd'l
SARL EXTEMBEL,,sarlextembel
SARL LEPLOMB CHRISTIAN,,sarlleplombchristian
SAS DILA,,sasdila
SAS FRANCE CHRIS,,sasfrancechris
SAS GRAUWIN TRAVAUX PUBLICS,,sasgrauwintravauxpublics
SAS L'ARBRE ET LA TABLE,,sasl'arbreetlatable
SAS R-M RENOVATION,,sasr-mrenovation
SATO FRANCE,SATO FRANCE,satofrance
SCALAIR,SCALAIR,scalair
SCI BJB,SCI BJB,scibjb
SCM BROCA,SCM BROCA,scmbroca
SCM DENTY,SCM DENTY,scmdenty
SCM MODF,SCM MODF,scmmodf
SELARL H2P,SELARL H2P,selarlh2p
SELARL H2P DR HERVE HAUROU PATOU,,selarlh2pdrhervehauroupatou
SELARL PLOUVIER,,selarlplouvier
SEM ENERGIES HAUTS-DE-FRANCE,SEM ENERGIES HAUTS-DE-FRANCE,semenergieshauts-de-france
SERVICES,SERVICES,services
SEWAN,SEWAN,sewan
SILLIKER - MERIEUX NUTRISCIENCES,SILLIKER - MERIEUX NUTRISCIENCES,silliker-merieuxnutrisciences
SIMONNEAU Consultant,SIMONNEAU Consultant,simonneauconsultant
SIVU POUR LA QUALITE DE LA VIE DES PERSONNES,SIVU POUR LA QUALITE DE LA VIE DES PERSONNES,sivupourlaqualitedelaviedespersonnes
SOC EXPLOITATION ALFRED LEMAIRE,SOC EXPLOITATION ALFRED LEMAIRE,socexploitationalfredlemaire
SOCIETE D'EXPERTISE COMPTABLE VERLOO ET ASSOCIES,SOCIETE D'EXPERTISE COMPTABLE VERLOO ET ASSOCIES,societed'expertisecomptableverlooetassocies
SOCIETE D'EXPLOITATION DE LILLE GRAND PALAIS,SOCIETE D'EXPLOITATION DE LILLE GRAND PALAIS,societed'exploitationdelillegrandpalais
SOCIETE GENERALE D'ELECTRICITE OLCZAK,SOCIETE GENERALE D'ELECTRICITE OLCZAK,societegeneraled'electriciteolczak
SOCIETE MICHEL PLATEEL,SOCIETE MICHEL PLATEEL,societemichelplateel
SOCOVOL SARL,SOCOVOL SARL,socovolsarl
SODEM DHAZE,SODEM DHAZE,sodemdhaze
SORRIAUX TP,SORRIAUX TP,sorriauxtp
STRATEGE PLUS ET ASSOCIES,STRATEGE PLUS ET ASSOCIES,strategeplusetassocies
TECOBAT,TECOBAT,tecobat
THELLIER ISABELLE,,thellierisabelle
THEYS INVESTISSEMENTS,THEYS INVESTISSEMENTS,theysinvestissements
TITOY RESTAURATION,TITOY RESTAURATION,titoyrestauration
TOPO RESEARCH,,toporesearch
TPF UTILITIES,TPF UTILITIES,tpfutilities
TRACHE Caroline,,trachecaroline
TRANSPORTS LAMART,TRANSPORTS LAMART,transportslamart
TRANSPORTS M.D.S,TRANSPORTS M.D.S,transportsm.d.s
TRANSPORTS MAHIEUX,TRANSPORTS MAHIEUX,transportsmahieux
TRANSPORTS MARCHAND,TRANSPORTS MARCHAND,transportsmarchand
TRANSPORTS MILLEVILLE,TRANSPORTS MILLEVILLE,transportsmilleville
TRANSPORTS PHILIPPE GALLET,TRANSPORTS PHILIPPE GALLET,transportsphilippegallet
TRANSPORTS ROSE XAVIER,TRANSPORTS ROSE XAVIER,transportsrosexavier
VEREECQUE PARCS ET JARDINS,VEREECQUE PARCS ET JARDINS,vereecqueparcsetjardins
VITALE SANTE,,vitalesante
WCMIA,WCMIA,wcmia
Xavier MILLON,,xaviermillon
XXX,,xxx
